----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguments :- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input : D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling : under_sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifier : RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samplingType : leastConfidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testsize : 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manualAnnotationsCount : 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxIterations : 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments : Typo3-RF_LC-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of  Label Classification  : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
499,499,499,1562,998,499,"[0.59       0.675      0.615      0.64321608 0.58291457 0.64
 0.625      0.6        0.5879397  0.63316583 0.615      0.62
 0.645      0.63819095 0.57788945]","[[456, 375], [138, 693]]",7,"[0.62       0.66       0.565      0.64824121 0.63316583 0.67
 0.645      0.65       0.65829146 0.63819095 0.64       0.67
 0.595      0.65326633 0.59798995]","[[443, 338], [124, 657]]",0.75,0.67,0.85,781,0.71,0.66,0.79,0.57,781,0.73,0.71,0.73,0.65,0.84,831,1662,2660,998,0.69,0.65,0.77,0.56,831,0.71,0.7
549,549,549,1462,1098,549,"[0.61818182 0.60454545 0.63636364 0.62557078 0.61187215 0.64090909
 0.64545455 0.63181818 0.64840183 0.6347032  0.60454545 0.61363636
 0.65909091 0.6347032  0.64383562]","[[450, 331], [106, 675]]",8,"[0.64090909 0.64545455 0.67727273 0.61643836 0.67123288 0.67272727
 0.65       0.63636364 0.62557078 0.63926941 0.63636364 0.67272727
 0.60454545 0.66666667 0.66666667]","[[430, 301], [103, 628]]",0.76,0.67,0.86,731,0.72,0.68,0.81,0.58,731,0.74,0.72,0.76,0.67,0.87,781,1562,2660,1098,0.71,0.67,0.82,0.57,781,0.75,0.72
599,599,599,1362,1198,599,"[0.625      0.60833333 0.6125     0.64853556 0.68200837 0.6375
 0.6125     0.66666667 0.61087866 0.60251046 0.62916667 0.60833333
 0.675      0.60669456 0.60251046]","[[408, 323], [78, 653]]",9,"[0.62083333 0.625      0.62083333 0.69037657 0.66108787 0.6375
 0.62083333 0.65833333 0.62761506 0.71129707 0.65       0.65416667
 0.62083333 0.66527197 0.64853556]","[[400, 281], [88, 593]]",0.76,0.67,0.87,681,0.72,0.68,0.81,0.58,681,0.74,0.72,0.77,0.67,0.89,731,1462,2660,1198,0.72,0.67,0.84,0.56,731,0.75,0.73
649,649,649,1262,1298,649,"[0.67307692 0.63076923 0.63461538 0.62162162 0.64478764 0.61538462
 0.64230769 0.61538462 0.62548263 0.62162162 0.63846154 0.66153846
 0.64615385 0.66795367 0.63706564]","[[380, 301], [62, 619]]",10,"[0.67692308 0.64230769 0.68846154 0.65250965 0.64092664 0.68076923
 0.69230769 0.60384615 0.61389961 0.63706564 0.66153846 0.62307692
 0.65384615 0.66023166 0.64092664]","[[384, 247], [90, 541]]",0.77,0.69,0.86,631,0.73,0.7,0.81,0.62,631,0.75,0.73,0.78,0.68,0.91,681,1362,2660,1298,0.73,0.68,0.86,0.56,681,0.77,0.73
699,699,699,1162,1398,699,"[0.7        0.63928571 0.61785714 0.68100358 0.67741935 0.61071429
 0.675      0.62142857 0.64516129 0.69892473 0.68571429 0.66785714
 0.60357143 0.71326165 0.6702509 ]","[[362, 269], [44, 587]]",11,"[0.61785714 0.66428571 0.71071429 0.72401434 0.64874552 0.66785714
 0.67857143 0.67142857 0.66308244 0.68817204 0.68214286 0.63571429
 0.66785714 0.67741935 0.68100358]","[[362, 219], [80, 501]]",0.78,0.7,0.87,581,0.75,0.72,0.83,0.64,581,0.77,0.75,0.79,0.68,0.93,631,1262,2660,1398,0.74,0.7,0.89,0.57,631,0.79,0.75
749,749,749,1062,1498,749,"[0.65333333 0.64       0.67666667 0.68896321 0.66889632 0.66
 0.68666667 0.67       0.71571906 0.69230769 0.63666667 0.67
 0.64       0.6722408  0.65886288]","[[342, 239], [40, 541]]",12,"[0.69       0.61666667 0.66333333 0.70568562 0.71906355 0.7
 0.64666667 0.68       0.69230769 0.69230769 0.70333333 0.69333333
 0.66       0.6722408  0.64214047]","[[340, 191], [61, 470]]",0.79,0.71,0.88,531,0.76,0.73,0.84,0.64,531,0.78,0.76,0.8,0.69,0.93,581,1162,2660,1498,0.75,0.71,0.9,0.59,581,0.8,0.76
799,799,799,962,1598,799,"[0.653125   0.70625    0.66875    0.6645768  0.67398119 0.6875
 0.64375    0.653125   0.6677116  0.68338558 0.68125    0.675
 0.665625   0.68025078 0.71786834]","[[327, 204], [34, 497]]",13,"[0.684375   0.69375    0.675      0.65830721 0.7460815  0.70625
 0.678125   0.64375    0.70219436 0.69278997 0.70625    0.703125
 0.6875     0.69905956 0.6645768 ]","[[307, 174], [49, 432]]",0.8,0.72,0.9,481,0.77,0.74,0.87,0.64,481,0.79,0.77,0.81,0.71,0.94,531,1062,2660,1598,0.78,0.74,0.91,0.62,531,0.81,0.78
849,849,849,862,1698,849,"[0.67352941 0.69705882 0.64411765 0.66666667 0.65486726 0.7
 0.67352941 0.65588235 0.66961652 0.67256637 0.69705882 0.69117647
 0.67647059 0.66371681 0.66076696]","[[301, 180], [30, 451]]",14,"[0.68529412 0.67647059 0.69117647 0.69321534 0.71976401 0.69411765
 0.70882353 0.71176471 0.7079646  0.68731563 0.72058824 0.69705882
 0.67058824 0.66961652 0.68731563]","[[285, 146], [45, 386]]",0.81,0.73,0.9,431,0.78,0.75,0.87,0.66,431,0.8,0.78,0.81,0.72,0.94,481,962,2660,1698,0.78,0.75,0.91,0.63,481,0.81,0.78
899,899,899,762,1798,899,"[0.7        0.70833333 0.67222222 0.68802228 0.66573816 0.7
 0.70555556 0.69444444 0.70752089 0.69359331 0.69444444 0.69166667
 0.7        0.70473538 0.66852368]","[[289, 142], [18, 413]]",15,"[0.675      0.71944444 0.68611111 0.72980501 0.68523677 0.71944444
 0.68333333 0.75       0.71030641 0.71030641 0.71666667 0.675
 0.68611111 0.68245125 0.72423398]","[[247, 134], [29, 352]]",0.82,0.73,0.92,381,0.79,0.76,0.89,0.66,381,0.81,0.79,0.84,0.74,0.96,431,862,2660,1798,0.81,0.78,0.94,0.66,431,0.84,0.81
949,949,949,662,1898,949,"[0.71578947 0.71052632 0.68684211 0.7176781  0.7414248  0.67631579
 0.65789474 0.69210526 0.69920844 0.70712401 0.71315789 0.67631579
 0.7        0.70712401 0.67810026]","[[258, 123], [12, 369]]",16,"[0.72105263 0.70526316 0.70263158 0.70712401 0.72031662 0.68157895
 0.69736842 0.72368421 0.7414248  0.68865435 0.71315789 0.73684211
 0.69473684 0.70976253 0.72295515]","[[215, 116], [21, 310]]",0.82,0.73,0.94,331,0.79,0.76,0.92,0.65,331,0.83,0.8,0.84,0.75,0.97,381,762,2660,1898,0.82,0.79,0.96,0.68,381,0.85,0.82
