
----------------------------------------------------------------------------------------------------
Arguments :- 
input : D
resampling : under_sampling
classifier : RF
samplingType : leastConfidence
testsize : 0.2
manualAnnotationsCount : 50
maxIterations : 40
comments : Redmine-RF_LC-12-12

----------------------------------------------------------------------------------------------------

Analysis of  Label Classification  : 
#Dupl,#Ind,#LM Dupl,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,DuplF1,DuplPrec,DuplRcl,DuplSup,Iteration,LM CV,LM ConfusionM,LM DuplF1,LM DuplPrec,LM DuplRcl,LM DuplSup,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,TraiAKA_ManlyAntd,f1,indF1,indPrec,indRcl,indSup,prec,rcl
846.0,846.0,846.0,846.0,846.0,5230.0,2538.0,846.0,"[0.56889764 0.61023622 0.58267717 0.59763314 0.59368836 0.61417323
 0.58267717 0.58070866 0.58382643 0.61932939 0.62992126 0.57480315
 0.63385827 0.58185404 0.5739645 ]","[[ 736  192  536]
 [ 232 1094  632]
 [ 506  220 1232]]",0.56,0.51,0.63,1958.0,11.0,"[0.56496063 0.56889764 0.57480315 0.51084813 0.57199211 0.53543307
 0.51181102 0.60826772 0.53057199 0.5443787  0.54330709 0.57086614
 0.54724409 0.5581854  0.52662722]","[[872, 129, 413], [284, 988, 636], [406, 178, 1324]]",0.62,0.56,0.69,1908.0,0.62,0.76,0.52,1908.0,0.61,0.58,0.56,0.61,1414.0,0.63,0.61,0.62,0.71,0.55,1958.0,5380.0,7918.0,2538.0,0.56,0.50,0.50,0.50,1464.0,0.58,0.56
896.0,896.0,896.0,896.0,896.0,5080.0,2688.0,896.0,"[0.62081784 0.59479554 0.61710037 0.58659218 0.63500931 0.60408922
 0.6394052  0.61710037 0.60148976 0.63314711 0.6394052  0.57620818
 0.63197026 0.62942272 0.58472998]","[[ 736  178  500]
 [ 208 1080  620]
 [ 472  228 1208]]",0.57,0.52,0.63,1908.0,12.0,"[0.55390335 0.55576208 0.5929368  0.5716946  0.52327747 0.55204461
 0.57063197 0.58178439 0.54562384 0.53631285 0.55018587 0.55018587
 0.56319703 0.59962756 0.56238361]","[[844, 131, 389], [255, 984, 619], [382, 182, 1294]]",0.63,0.57,0.70,1858.0,0.63,0.76,0.54,1858.0,0.62,0.59,0.57,0.62,1364.0,0.63,0.62,0.63,0.72,0.57,1908.0,5230.0,7918.0,2688.0,0.57,0.51,0.51,0.51,1414.0,0.59,0.57
946.0,946.0,946.0,946.0,946.0,4930.0,2838.0,946.0,"[0.63908451 0.62852113 0.62852113 0.6031746  0.5696649  0.57922535
 0.61443662 0.62147887 0.58201058 0.60493827 0.625      0.64964789
 0.62323944 0.62433862 0.61199295]","[[ 726  172  466]
 [ 187 1073  598]
 [ 442  198 1218]]",0.58,0.53,0.65,1858.0,13.0,"[0.56514085 0.56690141 0.59683099 0.56790123 0.58201058 0.58098592
 0.5721831  0.56161972 0.57319224 0.55202822 0.54753521 0.52816901
 0.5721831  0.59964727 0.61375661]","[[833, 116, 365], [243, 1007, 558], [375, 174, 1259]]",0.63,0.58,0.70,1808.0,0.64,0.77,0.55,1808.0,0.62,0.60,0.57,0.62,1314.0,0.64,0.62,0.65,0.74,0.58,1858.0,5080.0,7918.0,2838.0,0.59,0.53,0.53,0.53,1364.0,0.60,0.58
996.0,996.0,996.0,996.0,996.0,4780.0,2988.0,996.0,"[0.63712375 0.62374582 0.61036789 0.64489112 0.61976549 0.60869565
 0.590301   0.63043478 0.59128978 0.61474037 0.61538462 0.66555184
 0.62207358 0.63819095 0.60469012]","[[ 732  158  424]
 [ 160 1070  578]
 [ 440  180 1188]]",0.59,0.54,0.65,1808.0,14.0,"[0.59364548 0.60869565 0.59698997 0.58123953 0.54773869 0.58026756
 0.56020067 0.57190635 0.59798995 0.57788945 0.59197324 0.56856187
 0.56521739 0.58458961 0.58626466]","[[807, 102, 355], [230, 977, 551], [328, 164, 1266]]",0.65,0.59,0.72,1758.0,0.65,0.78,0.56,1758.0,0.64,0.61,0.59,0.64,1264.0,0.65,0.64,0.65,0.75,0.58,1808.0,4930.0,7918.0,2988.0,0.60,0.54,0.54,0.55,1314.0,0.61,0.59
1046.0,1046.0,1046.0,1046.0,1046.0,4630.0,3138.0,1046.0,"[0.6433121  0.59235669 0.63853503 0.62679426 0.66507177 0.63057325
 0.67356688 0.61305732 0.61562998 0.61722488 0.64649682 0.64171975
 0.60987261 0.63636364 0.61881978]","[[ 703  148  413]
 [ 173 1041  544]
 [ 430  190 1138]]",0.60,0.55,0.65,1758.0,15.0,"[0.61942675 0.57006369 0.60987261 0.60606061 0.61244019 0.60350318
 0.61305732 0.56369427 0.60127592 0.57256778 0.59076433 0.59713376
 0.59235669 0.62679426 0.56937799]","[[769, 122, 323], [219, 979, 510], [331, 154, 1223]]",0.66,0.60,0.72,1708.0,0.67,0.79,0.58,1708.0,0.64,0.61,0.59,0.64,1214.0,0.66,0.65,0.67,0.76,0.59,1758.0,4780.0,7918.0,3138.0,0.61,0.55,0.54,0.56,1264.0,0.62,0.60
1096.0,1096.0,1096.0,1096.0,1096.0,4480.0,3288.0,1096.0,"[0.62765957 0.61550152 0.61246201 0.64231355 0.6651446  0.59878419
 0.62462006 0.62006079 0.64840183 0.63774734 0.60790274 0.60030395
 0.63221884 0.63165906 0.62861492]","[[ 700  134  380]
 [ 177 1000  531]
 [ 406  158 1144]]",0.61,0.56,0.67,1708.0,16.0,"[0.6231003  0.60942249 0.59726444 0.61796043 0.62252664 0.64133739
 0.59878419 0.60942249 0.57686454 0.59665145 0.63221884 0.60942249
 0.5775076  0.61491629 0.5738204 ]","[[769, 84, 311], [230, 942, 486], [311, 140, 1207]]",0.66,0.61,0.73,1658.0,0.67,0.81,0.58,1658.0,0.65,0.62,0.59,0.65,1164.0,0.67,0.65,0.67,0.77,0.60,1708.0,4630.0,7918.0,3288.0,0.61,0.56,0.55,0.57,1214.0,0.63,0.61
1146.0,1146.0,1146.0,1146.0,1146.0,4330.0,3438.0,1146.0,"[0.66715116 0.60174419 0.60755814 0.64483261 0.65065502 0.63081395
 0.63662791 0.63953488 0.61280932 0.62445415 0.60901163 0.61918605
 0.65843023 0.61572052 0.62736536]","[[ 684  104  376]
 [ 147 1022  489]
 [ 400  138 1120]]",0.61,0.56,0.67,1658.0,17.0,"[0.61482558 0.59883721 0.64244186 0.60407569 0.63464338 0.60755814
 0.65406977 0.59883721 0.60262009 0.63755459 0.59593023 0.61482558
 0.61918605 0.62590975 0.6084425 ]","[[729, 86, 299], [188, 949, 471], [281, 124, 1203]]",0.67,0.61,0.75,1608.0,0.68,0.81,0.58,1608.0,0.66,0.63,0.60,0.66,1114.0,0.68,0.66,0.69,0.80,0.61,1658.0,4480.0,7918.0,3438.0,0.62,0.57,0.55,0.58,1164.0,0.64,0.62
1196.0,1196.0,1196.0,1196.0,1196.0,4180.0,3588.0,1196.0,"[0.63370474 0.6448468  0.62952646 0.60529986 0.65690377 0.64345404
 0.59470752 0.62952646 0.64016736 0.68200837 0.6183844  0.65598886
 0.62534819 0.64993026 0.64435146]","[[ 674   78  362]
 [ 147  979  482]
 [ 392  126 1090]]",0.62,0.57,0.68,1608.0,18.0,"[0.64902507 0.65181058 0.60724234 0.60808926 0.64156206 0.62952646
 0.61559889 0.61420613 0.61924686 0.61227336 0.61977716 0.62395543
 0.61699164 0.61366806 0.62064156]","[[721, 92, 251], [217, 911, 430], [265, 128, 1165]]",0.69,0.63,0.76,1558.0,0.68,0.81,0.58,1558.0,0.67,0.65,0.61,0.68,1064.0,0.69,0.67,0.71,0.83,0.61,1608.0,4330.0,7918.0,3588.0,0.63,0.58,0.55,0.61,1114.0,0.65,0.63
1246.0,1246.0,1246.0,1246.0,1246.0,4030.0,3738.0,1246.0,"[0.64304813 0.62299465 0.65508021 0.63319946 0.64123159 0.6684492
 0.65909091 0.63770053 0.6291834  0.66398929 0.65909091 0.6684492
 0.67112299 0.65997323 0.6519411 ]","[[ 660   68  336]
 [ 136  971  451]
 [ 384   96 1078]]",0.63,0.58,0.69,1558.0,19.0,"[0.58823529 0.65240642 0.62834225 0.65461847 0.62115127 0.64171123
 0.62967914 0.65775401 0.59973226 0.6064257  0.62032086 0.62165775
 0.64304813 0.64257028 0.6398929 ]","[[719, 72, 223], [189, 877, 442], [235, 114, 1159]]",0.70,0.64,0.77,1508.0,0.69,0.83,0.60,1508.0,0.69,0.67,0.63,0.71,1014.0,0.70,0.69,0.73,0.85,0.63,1558.0,4180.0,7918.0,3738.0,0.65,0.59,0.56,0.62,1064.0,0.67,0.65
1296.0,1296.0,1296.0,1296.0,1296.0,3880.0,3888.0,1296.0,"[0.68123393 0.64524422 0.64781491 0.67438867 0.64092664 0.63367609
 0.6503856  0.66452442 0.67181467 0.64478764 0.65809769 0.64652956
 0.6722365  0.66151866 0.63577864]","[[ 624   64  326]
 [ 132  957  419]
 [ 344   98 1066]]",0.64,0.59,0.71,1508.0,20.0,"[0.61568123 0.63496144 0.6285347  0.63320463 0.65894466 0.6311054
 0.6311054  0.61182519 0.64478764 0.62548263 0.63367609 0.63881748
 0.62082262 0.64350064 0.64607465]","[[687, 78, 199], [162, 914, 382], [221, 116, 1121]]",0.71,0.66,0.77,1458.0,0.71,0.83,0.62,1458.0,0.70,0.68,0.64,0.72,964.0,0.71,0.71,0.73,0.86,0.63,1508.0,4030.0,7918.0,3888.0,0.66,0.59,0.57,0.62,1014.0,0.67,0.65
